sourceid, targetid
51221 ,  512124 
51221 ,  512141 
51221 ,  512142 
51221 ,  512143 
51221 ,  512144 
51221 ,  512145 
51222 ,  51201 
51222 ,  512131 
51231 ,  512111 
51231 ,  512121 
51231 ,  512123 
51231 ,  512151 
51232 ,  512121 
51232 ,  512122 
51232 ,  512151 
51232 ,  51222 
51233 ,  512121 
51233 ,  512123 
51234 ,  512152 
51234 ,  512153 
51234 ,  512154 
51234 ,  51222 
51235 ,  512111 
51236 ,  512133 
51237 ,  512133 
51311 ,  51302 
51312 ,  51329 
51312 ,  51302 
51312 ,  513151 
51313 ,  51302 
51313 ,  513161 
51313 ,  51321 
51314 ,  51302 
51314 ,  513171 
51314 ,  51327 
51321 ,  51329 
51322 ,  51323 
51323 ,  513164 
51323 ,  51325 
51331 ,  512121 
51331 ,  512151 
51332 ,  51302 
51332 ,  513131 
51332 ,  513133 
